id,codice,descrizione,prezzo
,60309539,RIP. MOLLA,4.5
,60309542,RIP. ORLATURA TOTALE,22.46
,60309545,RIP. ORLATURA PARZIALE,14.86
,60309548,RIP. PARTE ANTERIORE IN ELASTICO,50.77
,60309551,RIP. PATTINA SOTTO PUBE,9.73
,60309554,RIP. RIVESTIMENTO AL CUSCINETTO,17.68
,60309557,RIP. SOSTITUZIONE DAVANTINO,32.09
,60309560,RIP. SPALLACCI SEMPLICI,32.09
,60309563,RIP. SPALLACCI MODELLATI,37.38
,60309566,RIP. TELINI CENTRALI ANTERIORI,56.35
,60309569,RIP. TESSUTO ALTO FINO ASCELLE,45.54
,60309572,RIP. TRAZIONE ELASTICA DI RACCORDO,34.06
,60309590,RIP. ALLARGARE PARTE STOFFA,30.68
,60309593,RIP. ALLARGARE PRESA DI BACINO,48.97
,60309596,RIP. ALLUNGARE METALLO E STOFFA,43.63
,60309599,RIP. IMBOTTITURA ASCELLARE,13.63
,60309602,RIP. IMBOTTITURA TRAVERSO SCAPOLARE,38.11
,60309605,RIP. ORLATURA PARZIALE,12.22
,60309608,RIP. PRESA METALLICA CRESTE ILIACHE,138.43
,60309611,RIP. RIVESTIMENTO PLACCA PRESSIONE,15.48
,60309614,RIP. PARTE STOFFA E PELLE,127.56
,60309617,RIP. SALDATURA O CHIODATURA,31.52
,60309620,RIP. TRAVERSO SCAPOLARE,44.13
,60309641,RIP. SMONT.RIMONT.BUSTO A TRE PUNTI,26.97
,60309644,RIP. ADATTAMENTO ANTROPOMETRICO,18.18
,60309645,RIP. APPOGGIO SOTTOASCELLARE,92.61
,60309648,RIP. ASTA ANTERIORE,48.35
,60309651,RIP. ASTA POSTERIORE,48.35
,60309654,RIP. CERNIERA PER PRESA DI BACINO,29.21
,60309657,RIP. CERNIERA SUPPORTO POSTERIORE,19.53
,60309660,RIP. CUSCINETTO DI APPOGGIO,15.09
,60309663,RIP. CUSCINETTO PER PIASTRINA,15.76
,60309666,RIP. CUSCINETTO SOTTO ASCELLARE,15.09
,60309669,RIP. PELOTTA ANTERIORE,48.35
,60309672,RIP. PELOTTA DORSALE,82.13
,60309675,RIP. PELOTTA LOMBARE,82.13
,60309678,RIP. PIASTRINA INSERTI FILETTATI,22.68
,60309681,RIP. PIASTRINA INSERTI FILETTATI,16.44
,60309684,RIP. PIASTRINA DI CONGIUNZIONE,16.44
,60309687,RIP. PIASTRINA FORATA PER PELOTTA,16.44
,60309690,RIP. PIASTRINA SAGOMATA,14.98
,60309693,RIP. PIASTRINA A TRIFOGLIO,16.88
,60309696,RIP. VALVA LATERALE MODELLATA,268.41
,60309699,RIP. PLACCA STERNALE RINFORZATA,187.4
,60309702,RIP. PLACCA DORSALE,163.48
,60309705,RIP. ASTA MONTANTE LATERALE,22.29
,60309743,RIP. ASTA DI RINFORZO ANTERIORE,39.29
,60309746,RIP. ASTA DI RINFORZO POSTERIORE,39.29
,60309749,RIP. PELOTTA ADDOMINALE,20.1
,60309752,RIP. ADATTAMENTO PRESA DI BACINO,41.77
,60309773,RIP. SMONT. RIMONT. BUSTO BOSTON,17.73
,60309776,RIP. CUSCINETTO DI SPINTA STERNALE,56.69
,60309779,RIP. FORCELLA DI SPINTA ACROMIALE,74.59
,60309782,RIP. RIVESTIMENTO CUSCINETTO,15.48
,60309785,RIP. MOLLONE E/O SPINTA STERNALE REG.,126.66
,60312003,COLLARE PREDISPOSTO IN GOMMA PIUMA,26.06
,60312006,COLLARE PRESISPOTO DI PLASTICA REGIS.,32.31
,60312009,COLLARE APPOGGIO OCCIPITO-MENTONIERO,58.54
,60312012,COLLARE BIVALVA IN MAT. SINTETICO,62.26
,60315003,MINERVA O GORGERA SU MISURA,265.87
,60315006,MINERVA O GORGERA SU MISURA,203.5
,60315009,MINERVA O GORGERA SU MISURA,289.85
,60315012,MINERVA O GORGERA SU MISURA,269.43
,60315015,MINERVA O GORGERA SU MISURA,293.18
,60315033,MINERVA O GORGERA TIPO BIVALVA,219.55
,60318003,BUSTO TIPO MILWAUKEE,613.71
,60318006,BUSTO TIPO MILWAUKEE,411.56
,60318009,BUSTO TIPO MILWAUKEE,736.26
,60318033,BUSTO STATICO EQUILIBRATO,611.06
,60318103,AGG. ANELLO ASCELLARE CON ATTACCHI,71.66
,60318106,AGG. APPOGGIO SOTTOASCELLARE,11.65
,60318109,AGG. RIVESTIMENTO MORBIDO INTERNO,37.32
,60318112,AGG. FORCELLA DI SPINTA ACROMIALE,63.61
,60318163,CUSCINETTO DI COMPRESSIONE,28.82
,60318166,RIVESTESTIMEN. TOTALE INTERNO MORBIDO,47.12
,60318169,RIVESTIMENTO PARZIALE ANTIDECUBITO,90.58
,60318172,CONTENTORE ADDOMINALE ELASTICIZZATO,26.57
,60318175,PROLUNG. PRESA DI BACINO SACRO-ISCH.,109.77
,60318178,PROL. PRESA DI BACINO ISCHIO-FEMORALE,387.19
,60318181,PRESA SCAPOLO OMERALE RIGIDA CORTA,64.74
,60318184,PRESA SCAPOLO OMERALE RIGIDA LUNGA,101.45
,60318187,SOSTEGNO OCCIPITALE FISSO,80.55
,60318190,SOSTEGNO ACCIPITALE REGISTRABILE,124.02
,60318193,PRESSORE ARTICOLATO STERNALE,101.89
,60318503,RIP. SMONT. RIMONT. BUSTO MILWAUKEE,26.97
,60318506,RIP. ADATTAMENTO ANTROPOMETRICO,18.18
,60318509,RIP. APPOGGIO IOIDEO,20.72
,60318512,RIP. APPOGGIO OCCIPITALE SEMPLICE,20.72
,60318515,RIP. ASTA ANTERIORE,11.31
,60318518,RIP. ASTA POSTERIORE,12.16
,60318521,RIP. COLLARE COMPLETO,36.87
,60318524,RIP. CUSCINETTO DI COMPRESSIONE,30.29
,60318527,RIP. GUAINA DI RIVESTIMENTO ASTA,5.57
,60318530,RIP. ELEMENTO DI COMPRESSIONE,32.87
,60318533,RIP. PRESA DI BACINO,304.33
,60318536,RIP. RIVESTIMENTO MORBIDO INTERNO,41.32
,60318539,RIP. CINGHIA ED ATTACCO CON FIBBIA,8.33
,60318542,RIP. ATTACCO CON FIBBIA,6.37
,60318545,RIP. CINGHIA,3.77
,60318548,RIP. PRESA DI BACINO PRE-FABBRICATA,221.58
,60318551,RIP. PRESA DI BACINO IN CUOIO FODER.,345.81
,60318563,RIP. SMONTAGGIO E RIMONTAGGIO,26.97
,60318566,CUSCINETTI DI COMPRESSIONE,36.87
,60318569,RIVESTIMENTO PARZIALE ANTIDECUBITO,99.64
,60318572,RIVESTIMENTO TOTALE INTERNO,56.18
,60318575,CERNIERE O GANCIO CHIUSURA,32.31
,60318578,CONTENTORE ADDOMINALE ELASTICIZZATO,21.73
,60606003,DOCCIA PER MANO E DITA,131.84
,60606006,DOCCIA PER MANO E DITA,71.16
,60609003,TUTORE PER POLSO (AVAMBRACCIO),190.73
,60609006,TUTORE PER POLSO (AVAMBRACCIO),116.59
,60612003,DOCCIA PER POLSO O AVAMBRACCIO,162.63
,60612006,DOCCIA PER POLSO O AVAMBRACCIO,94.07
,60612009,DOCCIA PER POLSO O AVAMBRACCIO,194.89
,60613009,TUTORE PER MANO E DITA,62.03
,60613012,TUTORE PER MANO E DITA,72.74
,60613015,TUTORE PER MANO E DITA,39.63
,60613018,TUTORE PER MANO E DITA,40.59
,60613021,TUTORE PER MANO E DITA,62.1
,60613024,TUTORE PER MANO E DITA,73.52
,60613030,TUTORE PER MANO E DITA,93.45
,60613033,TUTORE PER MANO E DITA,46.33
,60613036,TUTORE PER MANO E DITA,54.43
,60613039,TUTORE PER MANO E DITA,63.05
,60613042,TUTORE PER MANO E DITA,66.65
,60615003,DOCCIA PER BRACCIO,175.02
,60615009,DOCCIA PER BRACCIO,220.22
,60615015,TUTORE GOMITO ARTIC. CON TRAZ. ELAST.,330.62
,60615018,TUTORE PER BRACCIO E AVAMBRACCIO,223.94
,60615021,TUTORE PER BRACCIO E AVAMBRACCIO,412.47
,60615024,TUTORE PER BRACCIO E AVAMBRACCIO,280.74
,60630003,DOCCIA TORACO-ANTIBRACHIALE UNILAT.,322.39
,60630006,DOCCIA TORACO-ANTIBRACHIALE UNILAT.,362.36
,60630009,DOCCIA TORACO-ANTIBRACHIALE UNILAT.,457.16
,60630012,DOCCIA TORACO-ANTIBRACHIALE UNILAT.,499.44
,60630033,TUTORE SPALLA CON MOLLA EXTRAROTANTE,446.52
,60630103,AGG. PALMARE SFILABILE,44.81
,60630106,AGG. TENDITORE PER REGOLAZIONE,49.2
,60630109,RIVESTIMENTO ANALLERGICO PER MANO,17.95
,60630112,RIVESTIMENTO ANALLLERGICO PER POLSO,20.55
,60630115,RIVESTIMENTO ANALLERGICO PER GOMITO,30.23
,60630118,RIVESTIMENTO ANALLERGICO PER TORACO,72.45
,60630121,BLOCCAGGIO ARTIC. POLSO E GOMITO,38.34
,60630124,MOLLA PER ARTICOLAZIONE,23.64
,60630127,ARTIC. PER PRONO-SUPIN. AVANBRACCIO,141.58
,60630130,SEPARADITA AL PALMARE,35.92
,60630163,AGG. ARRESTO GRADUABILE,52.97
,60630166,AGG. ARRESTO A SCATTO AL GOMITO,81.9
,60630169,AGG. ARRESTO A SCATTO AL GOMITO,139.72
,60630172,AGG. ARTICOLAZIONE DI SPALLA,244.31
,60630175,AGG. PRESA RIGIDA ALLA SPALLA,76.17
,60630503,RIP. ALLACCIATURA ELEMENTO MOBILE,10.87
,60630506,RIP. ARTICOLAZIONE PER POLSO,24.49
,60630509,RIP. ARTICOLAZIONE PER GOMITO,24.49
,60630512,RIP. ARTICOLAZIONE PER SPALLA,74.82
,60630515,RIP. ATTACCO CON FIBBIA,6.37
,60630518,RIP. CINGHIA,6.14
,60630524,RIP. MOLLA PER POLSO,23.64
,60630527,RIP. RIVESTIMENTO PER DOCCIA,17.95
,60630530,RIP. RIVESTIMENTO PER DOCCIA,20.55
,60630533,RIP. RIVESTIMENTO PER DOCCIA,30.23
,60630536,RIP. RIVESTIMENTO PER DOCCIA,72.45
,60630539,RIP. BLOCCAGG PER ART. AL POLS.GOMITO,39.74
,60630563,RIP. SMONT.E RIMONT.ARTICOL.POLSO,18.13
,60630566,RIP. SMONT.E RIMONT.ARTIC.GOMITO,18.13
,60630569,RIP. SMONT.E RIMONT.ARTICOL.SPALLA,18.13
,60630572,RIP. ALLACCIATURA ELEMENTO MOBILE,11.26
,60630575,RIP. ARRESTO GRADUABILE AL POLSO,36.65
,60630578,RIP. ARRESTO A SCATTO AL GOMITO,70.71
,60630581,RIP. ARRESTO SCATTO AL GOMITO,100.26
,60630584,RIP. ARTICOLAZIONE PER POLSO,82.41
,60630587,RIP. ARICOLAZIONE PER GOMITO,86.08
,60630590,RIP. ARTICOLAZIONE PER SPALLA,74.82
,60630593,RIP. ATTACCO CON FIBBIA,6.37
,60630596,RIP. CINGHIA,6.14
,60630599,RIP. MOLLA PER POLSO,23.64
,60630602,CONTENTORE COMPLETO DI BRACCIO E AVA.,156.83
,60630605,RIP. MOLLA EXTRAROTATORIA,56.35
,61203003,PLANTARE SU MISURA,21.4
,61203006,PLANTARE SU MISURA,24.15
,61203009,PLANTARE SU MISURA,26.57
,61203012,PLANTARE SU MISURA,30.4
,61203015,PLANTARE SU MISURA,32.65
,61203018,PLANTARI CORRETTIVI E/O DI SCARICO,32.04
,61203021,PLANTARI CORRETTIVI E/O DI SCARICO,34.56
,61203024,PLANTARE MODELLATO,39.4
,61203027,PLANTARE MODELLATO,44.58
,61203030,PLANTARE MODELLATO SUL PAZIENTE,51.96
,61203033,PLANTARE MODELLATO SUL PAZIENTE,53.76
,61203036,PLANTARE MODELLATO SCOLPITO SU MISURA,51.51
,61203039,PLANTARE MODELLATO SCOLPITO SU MISURA,59.56
,61203042,PLANTARE SU MODELLO,64.45
,61203045,PLANTARE SU MODELLO,71.89
,61203051,PLANTARE SU MODELLO,80.55
,61203054,PLANTARE SU MODELLO,74.87
,61203057,PLANTARE SU MODELLO,83.15
,61203060,PLANTARE SU MODELLO,84.5
,61203063,PLANTARE SU MODELLO,92.72
,61203066,RIALZO TOTALE INTERNO SU MISURA 4CM,87.25
,61203069,RIALZO TOTALE INTERNO SU MISURA 4CM,99.58
,61203072,RIALZO TOTALE ESTERNO SU MISURA 4cm,42.39
,61203075,RIALZO TOTALE ESTERNO SU MISURA 4 cm,44.03
,61203078,RIALZO TOTALE ESTERNO SU MISURA 4/8cm,49.88
,61203081,RIALZO TOTALE ESTERNO SU MISURA 4/8cm,52.75
,61203084,RIALZO TOTALE ESTERNO SU MISURA 8 CM,53.26
,61203087,RIALZO TOTALE ESTERNO SU MISURA 8 cm,56.12
,61203090,RIALZO ESTERNO RIVESTITO 4 cm,82.92
,61203093,RIALZO ESTERNO RIVESTITO 4 CM,85.4
,61203096,RIALZO ESTERNO RIVESTITO 4/8CM,92.49
,61203099,RIALZO ESTERNO RIVESTITO 4/8CM,97.5
,61203102,RIALZO ESTERNO RIVESTITO 8 cm.,98.07
,61203103,RIVESTIMENTO AL PLANTARE,5.85
,61203105,RIALZO ESTERNO RIVESTITO 8cm,105.22
,61203106,AGG. COMPENSO DI RIEMPIMENTO,30.17
,61203109,AGG. RIALZO CALCANEARE FINO CM.3,12.38
,61203503,ADATTAMENTO E/O CORREZIONI,7.26
,61203506,SOSTITUZIONE SOTTOPIEDE,5.85
,61206003,DOCCIA GAMBA-PIEDE,201.03
,61206006,DOCCIA GAMBA PIEDE,114.17
,61206009,TUTORE GAMBA-PIEDE,269.09
,61206012,TUTORE GAMBA-PIEDE,413.02
,61206018,TUTORE PER SOLA GAMBA RIGIDO,267.06
,61206024,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,90.3
,61206027,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,316.2
,61206030,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,90.92
,61206033,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,138.04
,61206036,TUTORE GAMBA-PIEDE CARAT. DINAMICHEA,67.05
,61206039,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,111.18
,61206042,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,116.8
,61206045,TUTORE GAMBA-PIEDE CARAT. DINAMICHE,249.22
,61209003,DOCCIA COSCIA-GAMBA,245.27
,61209012,DOCCIA COSCIA-GAMBA GINOCCHIO FLESSO,266.67
,61209024,TUTORE COSCIA-GAMBA,360.28
,61209027,TUTORE COSCIA-GAMBA,426.15
,61209030,TUTORE COSCIA-GAMBA,151.88
,61209033,TUTORE COSCIA-GAMBA,107.91
,61212003,DOCCIA COSCIA-GAMBA-PIEDE,293.62
,61212012,DOCCIA COSCIA-GAMBA-PIEDE GIN. FLESSO,313.39
,61212021,STECCA PER GINOCCHIO VALGO O VARO,74.25
,61212027,STAFFA DI SCARICO O THOMAS,232.55
,61212030,STAFFA DI SCARICO O THOMAS,259.74
,61212033,STAFFA DI SCARICO O THOMAS,333.93
,61212039,STAFFA DI SCARICO O THOMAS,390.18
,61212048,TUTORE PER COSCIA-GAMBA-PIEDE,554.05
